"member_casual","day_of_week","number_of_rides","avg_ride_length_min"
"casual","Sunday",18652,84.3550727357209
"casual","Monday",5591,79.2008406367376
"casual","Tuesday",7311,76.0300642866913
"casual","Wednesday",7690,74.6728738621587
"casual","Thursday",7147,140.861114220419
"casual","Friday",8013,101.512288364741
"casual","Saturday",13473,82.5128466810164
"member","Sunday",60197,16.2156389299577
"member","Monday",110430,13.7051866944369
"member","Tuesday",127974,12.8240271461391
"member","Wednesday",121902,11.8663965042958
"member","Thursday",125228,11.7868212380618
"member","Friday",115168,13.2788964816616
"member","Saturday",59413,16.2345493971577
